Cluster,Age,k,N,Nsys,Z,bin_frac,Mc,Mdot,Lw,SNe,WR,WR2
Stephenson_1,28.2,5777.5,854,85,0.0216,0.26289,519.0,1.59e-07,8.95e+27,5,10,0
Stock_17,11.67,30992.8,4579,458,0.0142,0.3,2757.0,3.76e-07,4.04e+28,10,5,0
Stock_18,13.2,17443.7,2577,258,0.0142,0.3,1303.0,4.50e-09,4.63e+26,10,5,0
Stock_20,24.3,28217.7,4169,417,0.0132,0.64286,2524.0,3.11e-08,8.85e+31,30,15,5
Stock_8,14.5,84817.2,12531,1253,0.0142,0.3,6524.5,4.34e-06,3.24e+34,20,0,0
Teutsch_125,11.95,20181.3,2982,298,0.0142,0.3,1827.0,2.20e-07,2.81e+28,0,0,0
Teutsch_127,11.5,32897.7,4860,486,0.0142,0.3,2878.0,9.00e-08,1.24e+28,5,5,0
Teutsch_23,13.15,25400.2,3753,375,0.0142,0.3,2344.0,1.90e-06,5.10e+33,20,15,5
Teutsch_30,28.8,335697.8,49596,4960,0.0142,0.3,26620.0,2.43e-06,9.85e+33,225,85,25
Teutsch_8,4.22,76524.3,11306,1131,0.0142,0.3,7266.0,1.04e-05,1.40e+30,0,0,0
Trumpler_1,28.8,49617.5,7331,733,0.0128,0.63946,3806.5,1.63e-08,1.42e+32,15,5,0
Trumpler_15,8.9,31305.4,4625,462,0.0146,0.67089,3047.0,2.74e-08,3.80e+27,0,0,0
Trumpler_16,13.5,80440.4,11884,1188,0.0142,0.3,6529.5,8.70e-07,4.05e+33,25,0,0
UBC_159,14.5,8418.1,1244,124,0.0142,0.3,648.0,5.75e-12,1.63e+28,15,15,5
UBC_178,10.2,8962.8,1324,132,0.0127,0.60526,649.0,1.82e-09,1.66e+26,5,0,0
UBC_17a,18.6,2961.3,438,44,0.0142,0.3,272.0,8.55e-11,3.45e+24,0,0,0
UBC_182,22.97,20032.9,2960,296,0.0142,0.3,1625.0,1.10e-08,1.26e+27,5,0,0
UBC_190,18.6,51656.5,7632,763,0.0142,0.3,4351.5,9.65e-07,4.64e+33,30,20,5
UBC_344,3.5,120229.4,17763,1776,0.0142,0.3,10775.0,3.02e-04,4.67e+31,0,5,5
UBC_353,29.5,41655.9,6154,615,0.0142,0.3,3497.0,1.47e-07,4.15e+32,30,0,0
UBC_368,22.4,15684.1,2317,232,0.0142,0.3,1248.5,5.10e-07,8.20e+32,15,10,0
UBC_386,6.5,10290.0,1520,152,0.0154,0.68539,761.0,3.08e-09,2.76e+26,0,0,0
UBC_393,10.49,61578.3,9098,910,0.0142,0.3,5171.0,6.60e-07,1.73e+33,10,0,0
UBC_415,23.4,5434.6,803,80,0.0142,0.3,407.5,1.23e-11,3.50e+28,10,10,0
UBC_423,16.6,23881.2,3528,353,0.0142,0.3,2729.0,1.92e-08,1.87e+27,0,0,0
UBC_438,11.04,50597.4,7475,748,0.0142,0.3,4430.5,1.84e-06,3.12e+29,0,0,0
UBC_487,26.3,22143.2,3271,327,0.0142,0.3,1857.0,7.80e-08,1.53e+28,5,5,0
UBC_51,10.0,43883.9,6483,648,0.0142,0.3,3231.5,2.69e-08,4.11e+27,0,0,0
UBC_522,19.55,55542.9,8206,821,0.0142,0.3,4444.0,3.14e-08,3.64e+27,10,5,0
UBC_525,11.7,80662.9,11917,1192,0.0142,0.3,6676.0,4.29e-06,8.20e+33,15,5,0
UBC_541,21.9,37890.3,5598,560,0.0142,0.3,3153.0,4.23e-06,3.35e+34,15,0,0
UBC_559,11.5,58985.8,8715,872,0.0142,0.3,4786.0,1.15e-06,3.16e+33,20,15,5
UBC_562,27.35,122437.5,18089,1809,0.0142,0.3,10365.5,5.25e-06,7.20e+27,15,0,0
UBC_564,28.63,32729.4,4835,484,0.0142,0.3,2770.0,1.86e-07,1.29e+33,30,15,0
UBC_565,13.69,140722.8,20791,2079,0.0142,0.3,12682.5,6.75e-06,5.95e+28,15,10,0
UBC_584,14.1,27383.4,4046,405,0.0142,0.3,1997.0,5.60e-09,3.78e+26,0,0,0
UBC_587,14.5,101688.8,15024,1502,0.0142,0.3,8239.5,1.30e-05,1.41e+33,30,10,0
UBC_590,13.24,36817.8,5440,544,0.0142,0.3,3187.0,1.68e-05,4.80e+28,5,0,0
UBC_608,20.4,46314.2,6843,684,0.0142,0.3,3784.5,3.59e-08,1.00e+32,15,5,0
