Cluster,Age,k,N,Nsys,Z,bin_frac,Mc,Mdot,Lw,SNe,WR,WR2
NGC_659,15.5,21061.4,3112,311,0.0117,0.54074,1994.5,2.72e-06,1.27e+27,0,0,0
NGC_6611,2.1,21637.2,3197,320,0.0142,0.3,1796.5,7.10e-07,1.72e+29,0,0,0
NGC_6613,18.2,1913.7,283,28,0.0142,0.3,127.5,6.15e-12,1.23e+23,0,0,0
NGC_663,29.5,56872.5,8402,840,0.0142,0.3,4439.5,1.56e-06,3.46e+27,5,0,0
NGC_6823,2.4,17574.7,2597,260,0.0142,0.3,1689.0,1.53e-07,3.52e+28,0,0,0
NGC_6834,19.1,24945.5,3685,368,0.0142,0.3,2006.5,3.26e-08,1.39e+32,20,20,5
NGC_6871,5.5,37026.6,5470,547,0.0142,0.3,3656.0,1.03e-04,2.92e+35,5,5,0
NGC_6910,13.5,16736.5,2473,247,0.0133,0.74408,1196.5,1.93e-09,1.27e+26,0,0,0
NGC_6913,21.9,9990.0,1476,148,0.0141,0.60166,904.5,6.60e-10,2.74e+25,0,0,0
NGC_7039,21.9,3129.6,462,46,0.0132,0.4,342.5,1.04e-07,5.95e+27,5,0,0
NGC_7067,6.2,10876.5,1607,161,0.0117,0.6381,1062.0,1.20e-06,1.27e+29,0,0,0
NGC_7128,26.3,18240.8,2695,270,0.0128,0.60241,1292.0,9.05e-08,8.55e+32,15,10,0
NGC_7129,21.4,1436.9,212,21,0.0142,0.3,104.5,7.60e-09,7.35e+26,0,0,0
NGC_7160,14.5,2986.1,441,44,0.0131,0.7971,332.5,2.55e-09,2.38e+26,0,0,0
NGC_7235,9.3,21165.0,3127,313,0.0106,0.44805,1645.5,3.91e-09,3.36e+26,0,0,0
NGC_7261,11.2,9772.1,1444,144,0.0142,0.3,680.5,3.19e-10,1.39e+25,0,0,0
NGC_7380,4.2,10622.2,1569,157,0.0142,0.3,803.5,2.53e-09,2.40e+26,0,0,0
NGC_7510,19.5,37016.4,5469,547,0.0092,0.73181,4302.5,5.65e-07,1.59e+33,20,20,5
NGC_7788,17.4,13450.3,1987,199,0.0142,0.3,1177.0,1.14e-09,6.60e+30,20,0,0
NGC_869,15.1,52022.7,7686,769,0.0142,0.3,3983.0,3.09e-08,2.14e+32,30,0,0
NGC_884,17.8,32828.8,4850,485,0.0142,0.3,2604.0,4.53e-08,4.99e+27,15,0,0
Negueruela_1,17.0,6015.2,889,89,0.0142,0.3,419.0,8.70e-10,4.01e+25,0,0,0
Patchick_94,3.5,46930.1,6934,693,0.0142,0.3,3853.5,1.85e-08,3.11e+27,0,0,0
Pismis_1,29.5,8039.5,1188,119,0.0142,0.3,654.0,2.27e-09,9.90e+25,0,0,0
Pismis_11,3.3,7852.2,1160,116,0.0144,0.80882,1178.0,1.22e-07,2.67e+28,0,0,0
Pismis_17,25.1,2106.2,311,31,0.0142,0.3,173.0,6.55e-10,2.71e+25,0,0,0
Pismis_27,5.4,2992.5,442,44,0.0113,0.74603,203.5,1.36e-09,2.69e+26,0,0,0
Pismis_5,10.0,3830.4,566,57,0.0126,0.66667,343.5,4.20e-11,1.61e+24,0,0,0
Pismis_Moreno_1,8.9,2333.4,345,34,0.0161,0.61404,104.5,4.10e-12,1.52e+23,0,0,0
Pozzo_1,9.5,4693.5,693,69,0.0129,0.23353,371.5,3.96e-09,6.95e+26,0,0,0
RSG_8,26.9,3023.1,447,45,0.0142,0.3,282.5,4.92e-10,1.99e+25,0,0,0
Riddle_4,26.9,5794.1,856,86,0.0142,0.3,434.5,2.01e-12,5.70e+27,10,0,0
Roslund_2,11.5,10112.5,1494,149,0.0142,0.3,864.5,2.21e-08,3.31e+27,0,0,0
Roslund_4,17.0,4492.8,664,66,0.0142,0.3,361.0,8.50e-12,2.23e+23,0,0,0
Ruprecht_127,13.5,10037.1,1483,148,0.0202,0.64242,1102.0,1.30e-08,1.39e+27,5,0,0
Ruprecht_138,9.5,14849.9,2194,219,0.0142,0.3,949.0,2.27e-10,9.40e+24,0,0,0
Ruprecht_32,5.0,3579.5,529,53,0.0142,0.3,331.0,1.02e-09,8.25e+25,0,0,0
Ruprecht_44,14.5,10303.4,1522,152,0.0083,0.57083,787.0,1.21e-09,5.70e+25,0,0,0
Ruprecht_47,29.5,4979.7,736,74,0.0142,0.3,289.5,8.90e-12,2.25e+23,0,0,0
Ruprecht_65,22.9,3461.8,511,51,0.0142,0.3,307.5,4.86e-13,1.37e+27,10,10,5
Ruprecht_71,21.4,3334.6,493,49,0.0177,0.61644,914.5,1.80e-10,1.55e+30,15,0,0
Ruprecht_77,12.3,2725.4,403,40,0.0142,0.3,184.0,3.15e-13,4.28e+21,0,0,0
Ruprecht_78,17.8,17898.9,2644,264,0.0142,0.3,1724.0,1.21e-08,1.22e+27,5,0,0
Ruprecht_94,24.5,5152.8,761,76,0.0142,0.3,636.5,2.67e-08,7.60e+31,10,15,5
SAI_113,8.9,7623.0,1126,113,0.0142,0.3,708.0,1.21e-08,1.81e+27,0,0,0
SAI_24,6.9,8367.3,1236,124,0.0137,0.75646,975.0,1.06e-05,1.40e+30,5,5,0
SAI_25,1.6,6584.9,973,97,0.0116,0.68794,850.5,2.99e-06,7.60e+29,0,0,0
Schuster_1,6.3,1282.4,189,19,0.0142,0.3,114.5,4.36e-11,1.81e+24,0,0,0
Sher_1,13.2,9830.3,1452,145,0.0142,0.3,940.0,2.71e-10,7.70e+29,10,10,0
Shorlin_1,3.2,2976.8,440,44,0.0142,0.3,281.5,1.97e-10,3.00e+25,0,0,0
Sigma_Ori,1.3,1677.5,248,25,0.0142,0.3,115.0,0.00e+00,0.00e+00,0,0,0
Skiff_J2330+60.2,20.4,5127.5,758,76,0.0142,0.3,456.0,5.40e-08,1.53e+32,10,15,5
Stephenson_1,28.2,1352.5,200,20,0.0216,0.26289,73.0,1.54e-12,2.70e+22,0,0,0
Stock_16,6.0,4661.1,689,69,0.0142,0.3,262.5,8.80e-12,3.03e+23,0,0,0
Stock_17,10.0,1221.9,181,18,0.0142,0.3,85.0,1.48e-10,6.50e+24,0,0,0
Stock_18,13.2,3432.4,507,51,0.0142,0.3,272.0,2.74e-09,4.30e+26,0,0,0
Stock_20,19.1,3656.3,540,54,0.0132,0.64286,529.0,3.91e-08,5.10e+27,5,5,0
Stock_8,14.5,25066.0,3703,370,0.0142,0.3,2118.5,2.86e-08,8.05e+31,10,0,0
Teutsch_1,27.5,5599.7,827,83,0.0079,0.52439,457.5,2.10e-10,8.40e+24,0,0,0
Teutsch_125,8.7,3452.6,510,51,0.0142,0.3,271.5,2.74e-10,1.22e+25,0,0,0
Teutsch_127,11.5,4887.5,722,72,0.0142,0.3,288.0,2.80e-10,1.25e+25,0,0,0
Teutsch_13,7.9,3517.8,520,52,0.0072,0.56024,158.5,0.00e+00,0.00e+00,0,0,0
Teutsch_23,5.6,7180.1,1061,106,0.0142,0.3,443.0,7.50e-10,3.67e+25,0,0,0
Teutsch_30,28.8,3230.6,477,48,0.0142,0.3,215.0,1.16e-10,4.57e+24,0,0,0
Teutsch_42,1.3,6451.7,953,95,0.0142,0.3,462.5,4.10e-10,7.60e+25,0,0,0
Teutsch_8,4.0,3311.6,489,49,0.0142,0.3,199.5,2.47e-13,5.90e+21,0,0,0
Teutsch_85,4.0,9990.8,1476,148,0.0142,0.3,619.0,5.10e-10,2.50e+25,0,0,0
Trumpler_1,28.8,8504.6,1256,126,0.0128,0.63946,816.5,9.90e-09,5.75e+26,0,0,0
Trumpler_11,27.5,6473.1,956,96,0.0142,0.3,615.5,4.08e-08,1.60e+27,10,0,0
Trumpler_15,8.9,12578.7,1858,186,0.0146,0.67089,913.5,5.05e-09,6.00e+26,0,0,0
Trumpler_16,13.5,15518.1,2293,229,0.0142,0.3,1240.0,4.98e-08,4.92e+27,5,0,0
Trumpler_17,20.0,14459.0,2136,214,0.0142,0.3,1160.0,2.30e-08,2.41e+27,0,0,0
UBC_101,28.2,7785.7,1150,115,0.0142,0.3,673.0,2.20e-08,1.24e+27,0,0,0
UBC_103,22.4,12865.6,1901,190,0.0142,0.3,891.0,4.13e-08,3.60e+32,10,10,0
UBC_10a,14.1,2901.5,429,43,0.0142,0.3,240.5,2.75e-12,7.80e+27,10,10,5
UBC_126,20.0,6273.1,927,93,0.0142,0.3,711.5,1.68e-07,4.73e+32,15,10,5
UBC_130,27.5,8969.1,1325,132,0.0142,0.3,558.0,5.70e-09,3.19e+26,0,0,0
UBC_135,24.0,9586.0,1416,142,0.0142,0.3,708.5,8.40e-10,7.75e+30,10,0,0
UBC_159,14.5,1662.3,246,25,0.0142,0.3,243.5,4.61e-09,7.00e+26,0,0,0
UBC_167,21.9,3266.6,483,48,0.0142,0.3,194.0,3.71e-12,9.40e+22,0,0,0
UBC_173,13.2,28327.4,4185,418,0.0142,0.3,2422.0,9.95e-09,7.55e+26,5,0,0
UBC_174,10.0,23641.9,3493,349,0.0142,0.3,1904.5,1.82e-07,1.89e+28,0,0,0
UBC_176,6.9,14448.0,2135,214,0.0142,0.3,1607.5,1.95e-07,3.16e+28,0,0,0
UBC_177,27.5,2724.1,402,40,0.018,0.71622,201.5,5.75e-13,8.15e+21,0,0,0
UBC_178,10.2,4244.0,627,63,0.0127,0.60526,290.0,1.40e-12,2.38e+22,0,0,0
UBC_17a,18.6,3279.6,485,48,0.0142,0.3,363.0,1.33e-09,1.24e+31,10,0,0
UBC_17b,11.5,2485.0,367,37,0.0142,0.3,199.0,7.80e-10,1.25e+26,0,0,0
UBC_182,13.5,2191.4,324,32,0.0142,0.3,83.5,0.00e+00,0.00e+00,0,0,0
UBC_186,23.4,43915.4,6488,649,0.0142,0.3,3602.5,1.61e-07,9.45e+32,40,15,0
UBC_187,17.8,1709.5,253,25,0.0142,0.3,141.5,2.40e-10,1.03e+25,0,0,0
UBC_188,26.3,5354.4,791,79,0.0142,0.3,469.0,2.20e-10,8.70e+24,5,0,0
UBC_19,6.9,2075.0,307,31,0.0142,0.3,158.0,2.23e-12,5.50e+22,0,0,0
UBC_190,18.6,8973.9,1326,133,0.0142,0.3,926.5,6.50e-07,1.51e+27,0,0,0
UBC_191,18.2,9717.3,1436,144,0.0142,0.3,917.0,6.50e-09,6.00e+26,5,0,0
UBC_204,14.8,4553.9,673,67,0.0142,0.3,458.5,5.10e-09,5.70e+26,0,0,0
UBC_207,15.1,1805.2,267,27,0.0142,0.3,143.0,9.35e-12,2.99e+23,0,0,0
UBC_224,14.8,16026.3,2368,237,0.0142,0.3,1393.5,8.40e-09,4.26e+31,35,10,5
UBC_236,18.2,6851.7,1012,101,0.0142,0.3,570.5,2.55e-08,3.16e+27,0,0,0
UBC_238,19.5,20117.6,2972,297,0.0142,0.3,1686.5,1.61e-08,4.52e+31,15,0,0
UBC_261,18.6,12374.7,1828,183,0.0142,0.3,1194.0,6.20e-09,1.75e+31,10,5,0
UBC_263,25.1,5653.5,835,84,0.0142,0.3,645.5,2.21e-06,8.80e+27,0,0,0
UBC_266,12.9,13266.1,1960,196,0.0142,0.3,1114.0,7.00e-09,7.35e+26,0,0,0
UBC_267,12.9,9709.4,1434,143,0.0142,0.3,855.5,1.85e-07,1.87e+28,10,5,0
UBC_287,23.4,7513.2,1110,111,0.0142,0.3,562.5,3.27e-09,9.25e+30,10,0,0
UBC_291,25.1,6127.2,905,90,0.0142,0.3,458.5,1.29e-09,3.67e+30,10,5,0
UBC_293,20.0,9364.3,1383,138,0.0142,0.3,659.0,1.92e-09,9.55e+25,0,0,0
UBC_31,26.3,4111.6,607,61,0.0106,0.39231,604.5,3.81e-10,1.54e+25,0,0,0
UBC_318,11.2,26886.0,3972,397,0.0142,0.3,2370.5,6.25e-06,9.65e+33,10,0,0
UBC_320,17.8,16252.9,2401,240,0.0142,0.3,1342.5,2.13e-08,1.74e+32,10,0,0
UBC_323,8.9,23037.2,3404,340,0.0142,0.3,1813.5,5.40e-07,4.65e+28,10,5,0
UBC_334,20.0,34307.6,5069,507,0.0142,0.3,2562.0,1.99e-08,1.95e+27,5,5,0
UBC_341,21.9,14438.6,2133,213,0.0142,0.3,1093.0,5.75e-08,5.85e+27,0,0,0
UBC_342,14.1,6539.0,966,97,0.0142,0.3,455.0,6.20e-11,2.38e+24,0,0,0
UBC_343,20.0,11009.2,1627,163,0.0142,0.3,1091.0,6.50e-07,1.81e+33,10,10,5
UBC_344,3.5,47141.1,6965,696,0.0142,0.3,4686.5,1.34e-05,2.11e+30,0,0,0
UBC_345,14.5,6724.1,993,99,0.0142,0.3,385.5,1.48e-10,6.05e+24,0,0,0
UBC_352,6.9,16376.7,2420,242,0.0142,0.3,1455.0,8.35e-08,1.44e+28,0,0,0
UBC_353,29.5,6202.9,916,92,0.0142,0.3,512.5,8.70e-11,3.22e+24,0,0,0
UBC_355,24.5,9913.6,1465,146,0.0142,0.3,988.5,4.36e-11,1.44e+24,10,10,0
UBC_357,6.6,16888.0,2495,250,0.0142,0.3,1463.5,3.98e-07,6.05e+28,0,0,0
UBC_367,21.9,3916.2,579,58,0.0142,0.3,473.0,2.15e-10,6.10e+29,10,5,0
UBC_368,22.4,3582.6,529,53,0.0142,0.3,332.0,7.50e-11,2.82e+24,10,0,0
UBC_379,18.2,6181.1,913,91,0.0142,0.3,587.0,1.20e-08,1.27e+27,0,0,0
UBC_385,19.5,2059.4,304,30,0.0142,0.3,88.5,0.00e+00,0.00e+00,0,0,0
UBC_386,6.5,2222.5,328,33,0.0154,0.68539,141.5,3.87e-13,1.08e+22,0,0,0
UBC_388,15.5,14200.5,2098,210,0.0142,0.3,1014.5,2.52e-06,7.50e+26,5,0,0
UBC_393,8.5,15130.2,2235,224,0.0142,0.3,1415.0,4.36e-06,4.93e+33,10,5,0
UBC_412,21.4,7751.1,1145,114,0.0142,0.3,657.5,3.73e-08,3.84e+27,0,0,0
